PreviousDayDate,Symbol_Input,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
2024-12-07,RELIANCE.NS,Oil & Gas Refining & Marketing,Energy,347362,9,9,7,1,9,86400,2,1322.05,1323.9,1310.0,1323.9,1322.05,1323.9,1310.0,1323.9,5.0,0.0038,1724025600,0.0996,0.44,0.635,26.110891,20.582012,9026387,9026387,15838421,14937177,14937177,17748419674112,1203.15,1608.8,1.9188768,1327.6465,1441.7959,10.0,0.00756401,20523773853696,0.07343,6178648529,13532399616,0.49667,0.27192,13532399616,605.573,2.1658,-0.048,50.23,71.85,0.06658268,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1311.55,1950.0,1300.0,1603.6389,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
2024-12-07,TCS.NS,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4464.05,4453.0,4412.75,4465.0,4464.05,4453.0,4412.75,4465.0,40.0,0.009,1729209600,0.42810002,1.28,0.518,34.01301,28.708265,1842037,1842037,2325120,2482112,2482112,16084219461632,3563.0,4592.25,6.467526,4170.453,4102.5327,57.0,0.012768675,15705927843840,0.19076,1002644413,3618089984,0.71783996,0.16514999,3618089984,280.521,15.847299,0.05,130.7,154.68,0.22031903,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4445.5,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
2024-12-07,HDFCBANK.NS,Banks - Regional,Financial Services,206758,,,,,,86400,2,1865.75,1857.0,1844.0,1864.2,1865.75,1857.0,1844.0,1864.2,19.5,0.0105,1715299200,0.2152,0.67,0.833,21.008038,16.689299,8890942,8890942,18711555,35771790,35771790,14187713527808,1363.55,1879.95,5.1385007,1733.471,1614.3867,,,18288729915392,0.25056,7578068585,7644859904,0.01671,0.51792,7685640192,632.437,2.9344423,0.398,88.34,96.36,0.12407637,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1855.85,2550.0,1554.0,1948.5775,1950.0,1.475,strong_buy,40,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
2024-12-07,BHARTIARTL.NS,Telecom Services,Communication Services,24893,3,2,6,5,2,86400,2,1615.35,1618.0,1594.8,1624.65,1615.35,1618.0,1594.8,1624.65,8.0,0.005,1722988800,0.3868,0.8,0.291,77.52789,33.387047,4296188,4296188,5772020,7497359,7497359,9557012119552,960.0,1779.0,6.1468463,1625.3,1455.7292,8.0,0.004952487,11607764631552,0.0789,2563438641,5691039744,0.55272996,0.31295002,5981170176,150.527,10.61504,1.68,20.61,,0.596493,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1597.85,2070.0,1120.0,1778.75,1836.0,1.61111,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
2024-12-07,ICICIBANK.NS,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1336.5,1342.5,1326.7,1347.1,1336.5,1342.5,1326.7,1347.1,10.0,0.0075,1723420800,0.1512,0.99,0.829,20.080853,18.071215,8942239,8942239,13949251,14736291,14736291,9376868859904,970.15,1362.35,5.722805,1272.428,1189.9993,,,10073656000512,0.28909,7019272418,7056909824,0.02172,0.54524,7098070016,397.441,3.3432634,0.188,66.17,37.94,0.30641043,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1328.75,1650.0,1170.0,1463.475,1458.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
2024-12-07,SUNPHARMA.NS,Drug Manufacturers - Specialty & Generic,Healthcare,43000,7,5,3,5,4,86400,2,1813.45,1815.85,1801.0,1823.95,1813.45,1815.85,1801.0,1823.95,13.5,0.0075,1720742400,0.2928,0.96,0.547,39.21882,32.61039,1590466,1590466,1901203,2235418,2235418,4330430660608,1208.55,1960.35,8.607882,1839.705,1675.1412,,,4147643416576,0.21972999,1035114634,2399330048,0.55097,0.26382,2399330048,288.721,6.25119,0.28,46.02,32.68,0.4538827,5.0,1720742400,NSI,EQUITY,SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Sun Pharmaceutical Industries Limited,1804.85,2450.0,1600.0,2047.1082,2094.0,1.75676,buy,37,201221898240,84.059,138017406976,25719500800,1.916,2.672,503077404672,3.707,209.894,0.08541001,0.16771,77989175296,127154700288,0.283,0.09,0.77605003,0.27435,0.23963
2024-12-07,BAJFINANCE.NS,Credit Services,Financial Services,,8,5,4,8,4,86400,2,6850.4,6875.95,6778.65,6935.0,6850.4,6875.95,6778.65,6935.0,36.0,0.0053,1718928000,0.14479999,0.24,1.048,27.547754,20.147312,832896,832896,1105976,1027037,1027037,4241877106688,6187.8,7830.0,12.393681,6913.049,6954.6475,36.0,0.005255168,6715976187904,0.44922,258677249,618489984,0.54955,0.25113,619225024,1403.263,4.881694,0.126,248.67,,-0.06066984,36.0,1718928000,NSI,EQUITY,BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Bajaj Finance Limited,6850.3,10000.0,5700.0,8012.645,8120.0,1.9,buy,31,124034998272,200.516,,2581427650560,5.378,5.378,342261301248,290.321,554.982,0.04145,0.20686,,-729231917056,0.104,0.163,0.93649,,0.59731996
2024-12-07,TATAMTRDVR.NS,Auto Manufacturers,Consumer Cyclical,91496,,,,,,86400,2,768.65,745.8,740.6,774.45,768.65,745.8,740.6,774.45,3.1,0.004,1718064000,0.0591,2.02,1.678,8.635382,17.781937,11048804,11048804,,,,3725041074176,463.5,804.3,0.83946526,768.65,710.036,,,3581168058368,0.07609,2262900518,508503008,0.09694,0.17828,4901369856,221.588,3.4297886,0.738,88.01,42.74,0.5886122,3.1,1718064000,NSI,EQUITY,TATAMTRDVR.NS,TATA MOTORS DVR  A  ORD,Tata Motors Limited,760.0,203.0,203.0,203.0,203.0,3.0,hold,1,592166387712,154.522,511051988992,1120443695104,,,4437397471232,117.15,1157.912,,,,,,0.057,0.44472998,0.11517,0.097270004
2024-12-07,NTPC.NS,Utilities - Regulated Electric,Utilities,20074,5,10,3,4,9,86400,2,369.15,369.45,368.05,371.2,369.15,369.45,368.05,371.2,11.25,0.0304,1730332800,0.44419998,3.78,0.463,18.765871,14.450799,9733348,9733348,15840758,15220065,15220065,3582919442432,280.85,448.45,1.9508511,398.172,380.302,10.25,0.02776649,5970720718848,0.120179996,4494113853,9696669696,0.52671003,0.36269,9789920256,173.535,2.1292534,0.143,19.69,24.09,0.28611207,2.5,1730332800,NSI,EQUITY,NTPC.NS,NTPC LTD,NTPC Limited,369.5,500.0,280.0,446.2,460.0,1.76923,buy,25,78724300800,8.119,502551609344,2420094795776,0.463,0.926,1836593053696,139.959,189.407,0.04476,0.13656001,-149665693696,470758195200,0.143,-0.006,0.42235002,0.27363002,0.16645001
2024-12-07,AXISBANK.NS,Banks - Regional,Financial Services,104633,1,1,6,10,2,86400,2,1166.4,1167.5,1160.0,1193.85,1166.4,1167.5,1160.0,1193.85,1.0,0.0008,1720742400,0.0111,1.03,0.944,13.19245,11.281429,7541158,7541158,9164065,9037111,9037111,3670375661568,995.7,1339.65,5.4975696,1163.149,1163.6274,1.0,0.0008573388,5027766730752,0.41832,2739610087,3094629888,0.02031,0.68768,3098540032,557.714,2.1239383,0.193,89.79,,0.060949445,1.0,1720742400,NSI,EQUITY,AXISBANK.NS,AXIS BANK LIMITED,Axis Bank Limited,1184.55,1590.0,1216.0,1363.0714,1360.0,1.53659,buy,42,892193079296,288.587,,2252174524416,,,667636072448,,216.263,0.01918,0.17764999,,-974622818304,0.188,0.102,,,0.47516
2024-12-07,MARUTI.NS,Auto Manufacturers,Consumer Cyclical,18228,3,6,5,8,4,86400,2,11182.25,11200.0,11121.0,11375.95,11182.25,11200.0,11121.0,11375.95,125.0,0.011,1722556800,0.28030002,0.83,0.652,25.380554,20.232302,416984,416984,545978,455443,455443,3558397706240,9737.65,13680.0,2.4504745,11713.743,12249.159,,,3523508436992,0.09656,131416090,314403008,0.5819,0.30049,314403008,2834.796,3.9925098,-0.176,445.93,521.85,0.07363105,125.0,1722556800,NSI,EQUITY,MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Maruti Suzuki India Limited,11317.95,16600.0,10800.0,13347.477,13415.5,1.80952,buy,42,36439998464,115.903,199318994944,1584000000,0.348,0.866,1452125978624,0.178,4618.617,0.086339995,0.18101,24424624128,138483007488,-0.208,0.01,0.2915,0.13726,0.09648
2024-12-07,KOTAKBANK.NS,Banks - Regional,Financial Services,116000,7,1,4,5,1,86400,2,1775.15,1773.9,1761.0,1785.05,1775.15,1773.9,1761.0,1785.05,2.0,0.0011,1721347200,0.0182,0.06,0.562,16.207132,17.089087,2595332,2595332,4303861,3906283,3906283,3532860686336,1543.85,1942.0,4.716181,1781.388,1768.0422,,,3842623668224,0.29495,1437265962,1988160000,0.28878,0.45479,1992770048,740.965,2.3981564,0.131,109.64,,-0.036387324,2.0,1721347200,NSI,EQUITY,KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Kotak Mahindra Bank Limited,1776.95,2300.0,1579.0,1993.825,2007.5,,none,40,461008404480,231.873,,770709520384,,,749093584896,,376.837,0.0298,0.16479999,,-509083713536,0.13,0.211,,,0.35261002
2024-12-07,M&M.NS,Auto Manufacturers,Consumer Cyclical,260000,3,4,7,1,4,86400,2,3071.6,3075.5,3065.95,3099.0,3071.6,3075.5,3065.95,3099.0,21.1,0.0069,1720137600,0.2086,0.92,1.071,30.395649,25.065252,2688702,2688702,3651914,3451597,3451597,3683574611968,1575.0,3222.1,2.4987533,2964.75,2626.7212,,,4430435450880,0.08049,839108798,1198690048,0.22969,0.5389,1198690048,632.146,4.861219,0.351,101.1,,0.85994434,21.1,1720137600,NSI,EQUITY,M&M.NS,MAHINDRA & MAHINDRA LTD,Mahindra & Mahindra Limited,3073.0,3700.0,2709.0,3418.111,3430.0,1.33333,strong_buy,36,302525415424,271.257,268166807552,1192247558144,0.451,1.312,1474164948992,145.663,1322.415,0.06309,0.17017001,5433699840,-29359599616,0.349,0.102,0.40423,0.18191,0.16823
2024-12-07,RELIANCE.NS,Oil & Gas Refining & Marketing,Energy,347362,9,9,7,1,9,86400,2,1322.05,1323.9,1310.0,1323.9,1322.05,1323.9,1310.0,1323.9,5.0,0.0038,1724025600,0.0996,0.44,0.635,26.110891,20.582012,9026387,9026387,15838421,14937177,14937177,17748419674112,1203.15,1608.8,1.9188768,1327.6465,1441.7959,10.0,0.00756401,20523773853696,0.07343,6178648529,13532399616,0.49667,0.27192,13532399616,605.573,2.1658,-0.048,50.23,71.85,0.06658268,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1311.55,1950.0,1300.0,1603.6389,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
2024-12-07,TCS.NS,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4464.05,4453.0,4412.75,4465.0,4464.05,4453.0,4412.75,4465.0,40.0,0.009,1729209600,0.42810002,1.28,0.518,34.01301,28.708265,1842037,1842037,2325120,2482112,2482112,16084219461632,3563.0,4592.25,6.467526,4170.453,4102.5327,57.0,0.012768675,15705927843840,0.19076,1002644413,3618089984,0.71783996,0.16514999,3618089984,280.521,15.847299,0.05,130.7,154.68,0.22031903,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4445.5,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
2024-12-07,HDFCBANK.NS,Banks - Regional,Financial Services,206758,,,,,,86400,2,1865.75,1857.0,1844.0,1864.2,1865.75,1857.0,1844.0,1864.2,19.5,0.0105,1715299200,0.2152,0.67,0.833,21.008038,16.689299,8890942,8890942,18711555,35771790,35771790,14187713527808,1363.55,1879.95,5.1385007,1733.471,1614.3867,,,18288729915392,0.25056,7578068585,7644859904,0.01671,0.51792,7685640192,632.437,2.9344423,0.398,88.34,96.36,0.12407637,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1855.85,2550.0,1554.0,1948.5775,1950.0,1.475,strong_buy,40,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
2024-12-07,BHARTIARTL.NS,Telecom Services,Communication Services,24893,3,2,6,5,2,86400,2,1615.35,1618.0,1594.8,1624.65,1615.35,1618.0,1594.8,1624.65,8.0,0.005,1722988800,0.3868,0.8,0.291,77.52789,33.387047,4296188,4296188,5772020,7497359,7497359,9557012119552,960.0,1779.0,6.1468463,1625.3,1455.7292,8.0,0.004952487,11607764631552,0.0789,2563438641,5691039744,0.55272996,0.31295002,5981170176,150.527,10.61504,1.68,20.61,,0.596493,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1597.85,2070.0,1120.0,1778.75,1836.0,1.61111,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
2024-12-07,ICICIBANK.NS,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1336.5,1342.5,1326.7,1347.1,1336.5,1342.5,1326.7,1347.1,10.0,0.0075,1723420800,0.1512,0.99,0.829,20.080853,18.071215,8942239,8942239,13949251,14736291,14736291,9376868859904,970.15,1362.35,5.722805,1272.428,1189.9993,,,10073656000512,0.28909,7019272418,7056909824,0.02172,0.54524,7098070016,397.441,3.3432634,0.188,66.17,37.94,0.30641043,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1328.75,1650.0,1170.0,1463.475,1458.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
2024-12-07 00:00:00,RELIANCE.NS,Oil & Gas Refining & Marketing,Energy,347362,9,9,7,1,9,86400,2,1322.05,1323.9,1310.0,1323.9,1322.05,1323.9,1310.0,1323.9,5.0,0.0038,1724025600,0.0996,0.44,0.635,26.110891,20.582012,9026387,9026387,15838421,14937177,14937177,17748419674112,1203.15,1608.8,1.9188768,1327.6465,1441.7959,10.0,0.00756401,20523773853696,0.07343,6178648529,13532399616,0.49667,0.27192,13532399616,605.573,2.1658,-0.048,50.23,71.85,0.06658268,10.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1311.55,1950.0,1300.0,1603.6389,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
2024-12-07 00:00:00,TCS.NS,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4464.05,4453.0,4412.75,4465.0,4464.05,4453.0,4412.75,4465.0,40.0,0.009,1729209600,0.42810002,1.28,0.518,34.01301,28.708265,1842037,1842037,2325120,2482112,2482112,16084219461632,3563.0,4592.25,6.467526,4170.453,4102.5327,57.0,0.012768675,15705927843840,0.19076,1002644413,3618089984,0.71783996,0.16514999,3618089984,280.521,15.847299,0.05,130.7,154.68,0.22031903,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4445.5,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
